id,code,img,title,album,cnt,regDate,modDate
19807,R&B/Soul,https://cdnimg.melon.co.kr/cm/album/images/000/02/393/2393_500.jpg/melon/resize/120/quality/80/optimize,벌써일년,BrownEyes,96185,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
72689,트로트,https://cdnimg.melon.co.kr/cm/album/images/000/04/899/4899_500.jpg/melon/resize/120/quality/80/optimize,바람의노래,조용필16집,26214,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
418168,GN0100,https://cdnimg.melon.co.kr/cm/album/images/000/28/985/28985_500.jpg/melon/resize/120/quality/80/optimize,희재,국화꽃향기OST,183704,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
418598,R&B/Soul,https://cdnimg.melon.co.kr/cm/album/images/000/26/396/26396_500.jpg/melon/resize/120/quality/80/optimize,친구라도될걸그랬어,LikeThem,90116,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
420534,R&B/Soul,https://cdnimg.melon.co.kr/cm/album/images/000/27/516/27516_500.jpg/melon/resize/120/quality/80/optimize,체념,LikeTheBible,86343,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
519620,R&B/Soul,https://cdnimg.melon.co.kr/cm/album/images/000/34/289/34289_500.jpg/melon/resize/120/quality/80/optimize,...사랑했잖아...,CanUSeeTheBright,123606,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
522852,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/000/34/486/34486_500.jpg/melon/resize/120/quality/80/optimize,너에게쓰는편지(Feat.린),180Degree,94721,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
531840,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/000/35/102/35102_500.jpg/melon/resize/120/quality/80/optimize,Y(PleaseTellMeWhy),Freestyle3,129013,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
665226,R&B/Soul,https://cdnimg.melon.co.kr/cm/album/images/000/47/037/47037_500.jpg/melon/resize/120/quality/80/optimize,귀로,BackToTheSoulFlight,95344,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
844269,트로트,https://cdnimg.melon.co.kr/cm/album/images/003/02/749/302749_500.jpg/melon/resize/120/quality/80/optimize,사랑아,짠짜라,17682,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
1121123,GN0100,https://cdnimg.melon.co.kr/cm/album/images/003/14/795/314795_500.jpg/melon/resize/120/quality/80/optimize,사랑은봄비처럼...이별은겨울비처럼...,AllThatLove,59360,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
1489805,R&B/Soul,https://cdnimg.melon.co.kr/cm/album/images/003/31/377/331377_500.jpg/melon/resize/120/quality/80/optimize,MustHaveLove,SG워너비&브라운아이드걸스싱글,91725,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
1556553,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/003/42/967/342967_500.jpg/melon/resize/120/quality/80/optimize,LoveLoveLove(Feat.YoongJinOfCasker),RemappingTheHumanSoul,113598,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
1637914,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/003/51/473/351473_500.jpg/melon/resize/120/quality/80/optimize,Ballerino,BlackSun,117921,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
1698598,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/003/55/853/355853_500.jpg/melon/resize/120/quality/80/optimize,거짓말,Always,129900,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
1765767,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/003/60/994/360994_500.jpg/melon/resize/120/quality/80/optimize,마지막인사,HotIssue,77480,2026-03-04T17:42:23.000Z,2026-03-04T17:42:23.000Z
1850253,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/003/76/100/376100_500.jpg/melon/resize/120/quality/80/optimize,우산(Feat.윤하),"Pieces,PartOne",149413,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
1913501,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/003/92/870/392870_500.jpg/melon/resize/120/quality/80/optimize,하루하루,StandUp(2008빅뱅3rdMiniAlbum),135419,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
2312253,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/006/82/952/682952_500.jpg/melon/resize/120/quality/80/optimize,"헤어지지못하는여자,떠나가지못하는남자(Feat.정인)",Hexagonal,140021,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
2314377,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/006/84/955/684955_500.jpg/melon/resize/120/quality/80/optimize,죽일놈(Guilty),BandOfDynamicBrothers,177575,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
2710613,트로트,https://cdnimg.melon.co.kr/cm/album/images/009/16/260/916260_500.jpg/melon/resize/120/quality/80/optimize,초혼,올래,40953,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
2733249,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/009/35/651/935651_500.jpg/melon/resize/120/quality/80/optimize,죽을만큼아파서(Feat.멜로우),블루브랜드TraumaPart2,125763,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
2951700,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/010/30/195/1030195_500.jpg/melon/resize/120/quality/80/optimize,그땐그땐그땐,AmesRoom,110479,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
3170749,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/011/96/552/1196552_500.jpg/melon/resize/120/quality/80/optimize,OfficiallyMissingYou,OfficiallyMissingYou,216538,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
3726617,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/020/89/047/2089047_500.jpg/melon/resize/120/quality/80/optimize,자니(Feat.DynamicDuo),자니,209947,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
3853980,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/021/37/275/2137275_500.jpg/melon/resize/120/quality/80/optimize,어땠을까(Feat.박정현),싸이6甲Part.1,186966,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
3896698,트로트,https://cdnimg.melon.co.kr/cm/album/images/021/49/029/2149029_500.jpg/melon/resize/120/quality/80/optimize,안동역에서,"님의사랑,안동역에서",17027,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
3910821,R&B/Soul,https://cdnimg.melon.co.kr/cm/album/images/021/50/856/2150856_500.jpg/melon/resize/120/quality/80/optimize,바람기억,PrincipleOfMySoul,208265,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
4182990,트로트,https://cdnimg.melon.co.kr/cm/album/images/021/93/965/2193965_500.jpg/melon/resize/120/quality/80/optimize,아모르파티,아모르파티,70847,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
4205993,R&B/Soul,https://cdnimg.melon.co.kr/cm/album/images/021/96/906/2196906_500.jpg/melon/resize/120/quality/80/optimize,갖고놀래(Feat.다이나믹듀오),갖고놀래,129107,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
4232200,랩/힙합,https://cdnimg.melon.co.kr/cm/album/images/021/99/192/2199192_500.jpg/melon/resize/120/quality/80/optimize,삐딱하게(Crooked),"쿠데타(COUPD\"ETAT)",201443,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
